Incident Type,Institution,date,Incidents,Prison.Type
Use of Chemical Agents - Non Self-Harm,Big Muddy River,2021-03-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Big Muddy River,2021-04-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Big Muddy River,2021-05-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Big Muddy River,2021-06-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Centralia,2020-07-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Centralia,2020-08-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Centralia,2020-09-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Centralia,2020-10-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Centralia,2020-11-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Centralia,2020-12-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Centralia,2021-01-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Centralia,2021-02-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Centralia,2021-03-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Centralia,2021-04-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Centralia,2021-05-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Centralia,2021-06-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Danville,2020-07-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Danville,2020-08-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Danville,2020-09-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Danville,2020-10-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Danville,2020-11-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Danville,2020-12-01,3,Medium Security
Use of Chemical Agents - Non Self-Harm,Danville,2021-01-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Danville,2021-02-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Danville,2021-03-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Danville,2021-04-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Danville,2021-05-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Danville,2021-06-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Dixon,2020-07-01,9,Medium Security
Use of Chemical Agents - Non Self-Harm,Dixon,2020-08-01,8,Medium Security
Use of Chemical Agents - Non Self-Harm,Dixon,2020-09-01,11,Medium Security
Use of Chemical Agents - Non Self-Harm,Dixon,2020-10-01,5,Medium Security
Use of Chemical Agents - Non Self-Harm,Dixon,2020-11-01,10,Medium Security
Use of Chemical Agents - Non Self-Harm,Dixon,2020-12-01,5,Medium Security
Use of Chemical Agents - Non Self-Harm,Dixon,2021-01-01,5,Medium Security
Use of Chemical Agents - Non Self-Harm,Dixon,2021-02-01,7,Medium Security
Use of Chemical Agents - Non Self-Harm,Dixon,2021-03-01,5,Medium Security
Use of Chemical Agents - Non Self-Harm,Dixon,2021-04-01,10,Medium Security
Use of Chemical Agents - Non Self-Harm,Dixon,2021-05-01,4,Medium Security
Use of Chemical Agents - Non Self-Harm,Dixon,2021-06-01,7,Medium Security
Use of Chemical Agents - Non Self-Harm,Graham,2020-07-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Graham,2020-08-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Graham,2020-09-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Graham,2020-10-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Graham,2020-11-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Graham,2020-12-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Graham,2021-01-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Graham,2021-02-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Graham,2021-03-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Graham,2021-04-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Graham,2021-05-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Graham,2021-06-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Hill,2020-07-01,2,Medium Security
Use of Chemical Agents - Non Self-Harm,Hill,2020-08-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Hill,2020-09-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Hill,2020-10-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Hill,2020-11-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Hill,2020-12-01,3,Medium Security
Use of Chemical Agents - Non Self-Harm,Hill,2021-01-01,2,Medium Security
Use of Chemical Agents - Non Self-Harm,Hill,2021-02-01,4,Medium Security
Use of Chemical Agents - Non Self-Harm,Hill,2021-03-01,5,Medium Security
Use of Chemical Agents - Non Self-Harm,Hill,2021-04-01,4,Medium Security
Use of Chemical Agents - Non Self-Harm,Hill,2021-05-01,3,Medium Security
Use of Chemical Agents - Non Self-Harm,Hill,2021-06-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Illinois River,2020-07-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Illinois River,2020-08-01,2,Medium Security
Use of Chemical Agents - Non Self-Harm,Illinois River,2020-09-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Illinois River,2020-10-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Illinois River,2020-11-01,3,Medium Security
Use of Chemical Agents - Non Self-Harm,Illinois River,2020-12-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Illinois River,2021-01-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Illinois River,2021-02-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Illinois River,2021-03-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Illinois River,2021-04-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Illinois River,2021-05-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Illinois River,2021-06-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Lawrence,2020-07-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Lawrence,2020-08-01,2,Medium Security
Use of Chemical Agents - Non Self-Harm,Lawrence,2020-09-01,4,Medium Security
Use of Chemical Agents - Non Self-Harm,Lawrence,2020-10-01,4,Medium Security
Use of Chemical Agents - Non Self-Harm,Lawrence,2020-11-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Lawrence,2020-12-01,5,Medium Security
Use of Chemical Agents - Non Self-Harm,Lawrence,2021-01-01,2,Medium Security
Use of Chemical Agents - Non Self-Harm,Lawrence,2021-02-01,4,Medium Security
Use of Chemical Agents - Non Self-Harm,Lawrence,2021-03-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Lawrence,2021-04-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Lawrence,2021-05-01,2,Medium Security
Use of Chemical Agents - Non Self-Harm,Lawrence,2021-06-01,3,Medium Security
Use of Chemical Agents - Non Self-Harm,Pinckneyville,2020-07-01,3,Medium Security
Use of Chemical Agents - Non Self-Harm,Pinckneyville,2020-08-01,4,Medium Security
Use of Chemical Agents - Non Self-Harm,Pinckneyville,2020-09-01,2,Medium Security
Use of Chemical Agents - Non Self-Harm,Pinckneyville,2020-10-01,3,Medium Security
Use of Chemical Agents - Non Self-Harm,Pinckneyville,2020-11-01,3,Medium Security
Use of Chemical Agents - Non Self-Harm,Pinckneyville,2020-12-01,2,Medium Security
Use of Chemical Agents - Non Self-Harm,Pinckneyville,2021-01-01,2,Medium Security
Use of Chemical Agents - Non Self-Harm,Pinckneyville,2021-02-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Pinckneyville,2021-03-01,2,Medium Security
Use of Chemical Agents - Non Self-Harm,Pinckneyville,2021-04-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Pinckneyville,2021-05-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Pinckneyville,2021-06-01,2,Medium Security
Use of Chemical Agents - Non Self-Harm,Shawnee,2020-07-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Shawnee,2020-08-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Shawnee,2020-09-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Shawnee,2020-10-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Shawnee,2020-11-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Shawnee,2020-12-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Shawnee,2021-01-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Shawnee,2021-02-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Shawnee,2021-03-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Shawnee,2021-04-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Shawnee,2021-05-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Shawnee,2021-06-01,2,Medium Security
Use of Chemical Agents - Non Self-Harm,Sheridan,2020-07-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Sheridan,2020-08-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Sheridan,2020-09-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Sheridan,2020-10-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Sheridan,2020-11-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Sheridan,2020-12-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Sheridan,2021-01-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Sheridan,2021-02-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Sheridan,2021-03-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Sheridan,2021-04-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Sheridan,2021-05-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Sheridan,2021-06-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Western Illinois,2020-07-01,6,Medium Security
Use of Chemical Agents - Non Self-Harm,Western Illinois,2020-08-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Western Illinois,2020-09-01,2,Medium Security
Use of Chemical Agents - Non Self-Harm,Western Illinois,2020-10-01,2,Medium Security
Use of Chemical Agents - Non Self-Harm,Western Illinois,2020-11-01,2,Medium Security
Use of Chemical Agents - Non Self-Harm,Western Illinois,2020-12-01,3,Medium Security
Use of Chemical Agents - Non Self-Harm,Western Illinois,2021-01-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Western Illinois,2021-02-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Western Illinois,2021-03-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Western Illinois,2021-04-01,1,Medium Security
Use of Chemical Agents - Non Self-Harm,Western Illinois,2021-05-01,2,Medium Security
Use of Chemical Agents - Non Self-Harm,Western Illinois,2021-06-01,4,Medium Security
Use of Chemical Agents - Non Self-Harm,Decatur (Female),2020-07-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Decatur (Female),2020-08-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Decatur (Female),2020-09-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Decatur (Female),2020-10-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Decatur (Female),2020-11-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Decatur (Female),2020-12-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Decatur (Female),2021-01-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Decatur (Female),2021-02-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Decatur (Female),2021-03-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Decatur (Female),2021-04-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Decatur (Female),2021-05-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Decatur (Female),2021-06-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,East Moline,2020-07-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,East Moline,2020-08-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,East Moline,2020-09-01,1,Minimum Security
Use of Chemical Agents - Non Self-Harm,East Moline,2020-10-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,East Moline,2020-11-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,East Moline,2020-12-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,East Moline,2021-01-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,East Moline,2021-02-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,East Moline,2021-03-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,East Moline,2021-04-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,East Moline,2021-05-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,East Moline,2021-06-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Elgin,2020-07-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Elgin,2020-08-01,1,Minimum Security
Use of Chemical Agents - Non Self-Harm,Elgin,2020-09-01,1,Minimum Security
Use of Chemical Agents - Non Self-Harm,Elgin,2020-10-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Elgin,2020-11-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Elgin,2020-12-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Elgin,2021-01-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Elgin,2021-02-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Elgin,2021-03-01,1,Minimum Security
Use of Chemical Agents - Non Self-Harm,Elgin,2021-04-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Elgin,2021-05-01,1,Minimum Security
Use of Chemical Agents - Non Self-Harm,Elgin,2021-06-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Jacksonville,2020-07-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Jacksonville,2020-08-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Jacksonville,2020-09-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Jacksonville,2020-10-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Jacksonville,2020-11-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Jacksonville,2020-12-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Jacksonville,2021-01-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Jacksonville,2021-02-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Jacksonville,2021-03-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Jacksonville,2021-04-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Jacksonville,2021-05-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Jacksonville,2021-06-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Kewanee,2020-07-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Kewanee,2020-08-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Kewanee,2020-09-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Kewanee,2020-10-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Kewanee,2020-11-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Kewanee,2020-12-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Kewanee,2021-01-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Kewanee,2021-02-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Kewanee,2021-03-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Kewanee,2021-04-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Kewanee,2021-05-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Kewanee,2021-06-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Joliet,2020-07-01,1,Minimum Security
Use of Chemical Agents - Non Self-Harm,Joliet,2020-08-01,5,Minimum Security
Use of Chemical Agents - Non Self-Harm,Joliet,2020-09-01,9,Minimum Security
Use of Chemical Agents - Non Self-Harm,Joliet,2020-10-01,8,Minimum Security
Use of Chemical Agents - Non Self-Harm,Joliet,2020-11-01,7,Minimum Security
Use of Chemical Agents - Non Self-Harm,Joliet,2020-12-01,3,Minimum Security
Use of Chemical Agents - Non Self-Harm,Joliet,2021-01-01,4,Minimum Security
Use of Chemical Agents - Non Self-Harm,Joliet,2021-02-01,4,Minimum Security
Use of Chemical Agents - Non Self-Harm,Joliet,2021-03-01,3,Minimum Security
Use of Chemical Agents - Non Self-Harm,Joliet,2021-04-01,5,Minimum Security
Use of Chemical Agents - Non Self-Harm,Joliet,2021-05-01,4,Minimum Security
Use of Chemical Agents - Non Self-Harm,Joliet,2021-06-01,11,Minimum Security
Use of Chemical Agents - Non Self-Harm,Lincoln,2020-07-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Lincoln,2020-08-01,1,Minimum Security
Use of Chemical Agents - Non Self-Harm,Lincoln,2020-09-01,1,Minimum Security
Use of Chemical Agents - Non Self-Harm,Lincoln,2020-10-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Lincoln,2020-11-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Lincoln,2020-12-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Lincoln,2021-01-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Lincoln,2021-02-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Lincoln,2021-03-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Lincoln,2021-04-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Lincoln,2021-05-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Lincoln,2021-06-01,0,Minimum Security
